tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
21.775, 22.5333333333333, 25.6, 29.6833333333333, 30.775, 16.275, 17.05, 19.45, 21.7833333333333, 22.2, 19.6, 20.3083333333333, 22.5, 25.1833333333333, 26.075, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.8, 29.9, 25.4
21.7, 22.4266666666667, 25.7, 29.9, 31.56, 16.38, 17.3266666666667, 19.4, 21.8, 22.2, 19.6, 20.3133333333333, 22.65, 25.2733333333333, 26.44, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.8866666666667, 25.4
21.5, 22.5, 25.6, 29.8466666666667, 30.74, 16.48, 17.08, 19.3, 21.8, 22.2, 19.57, 20.3, 22.65, 25.2, 26.12, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.7066666666667, 25.3516666666667
21.5, 22.6, 25.6, 30, 31.56, 16.48, 16.9, 19.3, 21.8, 22.22, 19.57, 20.2133333333333, 22.55, 25.3366666666667, 26.44, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.9, 25.4
21.485, 22.1, 25.55, 29.8266666666667, 31.52, 16.57, 16.9366666666667, 19.3, 21.9266666666667, 22.3, 19.5775, 20.0183333333333, 22.475, 25.35, 26.43, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.8866666666667, 25.35
21.655, 22.1, 25.75, 30.2633333333333, 34.13, 16.4, 16.8, 19.35, 22.1, 22.515, 19.45, 19.9366666666667, 22.4, 25.5816666666667, 27.98, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.9933333333333, 29.6, 25.35
21.785, 22.6366666666667, 25.75, 29.39, 33.76, 16.285, 16.7, 19.3, 22.1, 22.6, 19.4925, 19.9366666666667, 22.4, 25.495, 27.965, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 21.9833333333333, 29.6, 25.35
22.08, 22.8, 26.1, 29.42, 33.78, 16.2, 16.5266666666667, 19.2, 22.2, 22.6, 19.54, 20, 22.4, 25.51, 27.97, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 29.7, 25.4416666666667
22.08, 22.8, 26.2, 29.2, 33.62, 16.18, 16.7266666666667, 19.3, 22.1733333333333, 22.62, 19.54, 20.1633333333333, 22.6, 25.55, 27.88, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22, 30, 25.6416666666667
22.1, 22.8, 26.2, 30.16, 33.78, 16.18, 16.8266666666667, 19.4, 22.1, 22.62, 19.49, 20.6, 22.7, 25.71, 27.88, 1.2, 1.4, 5.8, 30.4833333333333, 46.7499999999999, 89.3866666666665, 22.1, 30.3, 25.7916666666667
