Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 16.1, 20.3, 17
NA, 15.9, 19.6, 14
NA, 16.4, 22.6, 8.2
NA, 14.6, 20.3, 3.4
NA, 14.2, 23.1, 0
NA, 15, 24.7, 0
NA, 13.8, 21.6, 0
NA, 13.9, 22.5, 0
NA, 17.1, 21.7, 0
NA, 14.8, 24, 0
NA, 17.6, 22.8, 0
NA, 14.2, 24.5, 0
NA, 13.4, 23.8, 0
NA, 15.3, 18.3, 0.2
NA, 8.4, 19.1, 0
NA, 8.4, 22.1, 0
NA, 10.4, 24.6, 0
NA, 11.5, 25, 0
NA, 11.7, 22.5, 0
NA, 12.1, 22.8, 0
NA, 12.9, 23.9, 0
NA, 14.1, 22.7, 0
NA, 13.5, 23.3, 0
NA, 13.4, 22.9, 0
NA, 13.8, 22.8, 0
NA, 13.9, 23, 0.2
NA, 14.2, 25.4, 0
NA, 16.6, 18.9, 6.8
NA, 12, 17.6, 3
NA, 9.5, 15.8, 0
NA, 8.2, 18.2, 0
NA, 8, 18.1, 0
NA, 9.7, 18.9, 1.4
NA, 12.6, 20, 4.2
NA, 13.4, 17.2, 0
NA, 13.6, 18.5, 3.8
NA, 14.9, 21.2, 17.2
NA, 10.6, 19, 1
NA, 12.9, 19.7, 42.8
NA, 14.4, 20, 16.2
NA, 12.2, 21.6, 0
NA, 12, 20.8, 0
NA, 9.8, 20, 0
NA, 11.8, 21.4, 0
NA, 11.1, 22.8, 0
NA, 10.6, 23.4, 0
NA, 12.8, 21.2, 0
NA, 15.8, 22.7, 0
NA, 14.9, 16.6, 26
NA, 13.2, 17.2, 64.2
NA, 13.5, 20.5, 50.2
NA, 11.3, 18.6, 2
NA, 11.4, 17.5, 0
NA, 10, 18.4, 0
NA, 9.6, 16.9, 0
NA, 9, 18.2, 0.6
NA, 10.4, 19.4, 0
NA, 10.8, 18.6, 0
NA, 9.7, 16.3, 0
NA, 9.7, 12.4, 0
NA, 7.7, 17.3, 0
NA, 8.6, 15.8, 0
NA, 5.8, 15.2, 0
NA, 7.2, 15.7, 57.6
NA, 10.8, 17.3, 23.4
NA, 8.7, 17.4, 0
NA, 7.8, 16.4, 0
NA, 10.2, 16.8, 8
NA, 10.3, 18.2, 18.4
NA, 9.4, 16.3, 14.8
NA, 7.1, 15.3, 0.2
NA, 7.8, 16.9, 0
NA, 7.7, 17.7, 0
NA, 10.3, 16.5, 0
NA, 8.9, 13.9, 0
NA, 9.5, 16, 6.4
NA, 11, 16.2, 6.6
NA, 11.7, 13.4, 20
NA, 11.2, 13.8, 41.8
NA, 10.6, 18.3, 12.2
NA, 11.2, 14.1, 1.6
NA, 11.4, 16.4, 0.8
NA, 9.8, 15.6, 0
NA, 9.3, 16.3, 0
NA, 12.4, 14.1, 0
NA, 6.8, 14.4, 0
NA, 5.2, 14.8, 0
NA, 6.6, 14.1, 0
NA, 7.4, 14.7, 0
NA, 4.6, 14.3, 0
NA, 7.7, 15, 0
NA, 5.9, 16.2, 0
NA, 5.4, 15.7, 0
NA, 4.6, 13.2, 0
NA, 3.2, 17.3, 0
NA, 4.6, 16.1, 0
NA, 6.4, 19.1, 0
NA, 11.1, 18.6, 0
NA, 9.3, 19, 0
NA, 9.8, 20.6, 0
NA, 12.3, 24.1, 0
NA, 13.8, 16.6, 3
NA, 7, 17.1, 0
NA, 8.4, 16.1, 0
NA, 6.4, 16.2, 0
NA, 6, 16.7, 0
NA, 8.2, 16.6, 0
NA, 7.1, 17.6, 0
NA, 6, 16.5, 0
NA, 6.6, 18.3, 0
NA, 7.6, 17.7, 0
NA, 8.9, 20.6, 0
NA, 9.8, 17.3, 0
NA, 8.4, 17.9, 0
NA, 9, 19.8, 0
NA, 12.1, 18.4, 0
NA, 12.1, 21.3, 0
NA, 14.5, 18.8, 0.8
NA, 8.8, 15.1, 0
NA, 8.4, 18.6, 0
NA, 6.9, 16.6, 0
NA, 7.2, 17.7, 0
NA, 5.5, 14.6, 0.2
NA, 5, 15.2, 0
NA, 7.2, 18.2, 0
NA, 8.6, 17.4, 0
NA, 8.7, 14.6, 0
NA, 9.4, 13.5, 0
NA, 9.8, 12.7, 10
NA, 8.2, 18.7, 11.6
NA, 10.2, 17.8, 0
NA, 8.5, 19.8, 0
NA, 6.8, 14.2, 3.4
NA, 6.8, 15.3, 5.2
NA, 6.1, 17.3, 0
NA, 8.2, 18.4, 0
NA, 6.9, 14.9, 0
NA, 7.8, 15, 1.6
NA, 9, 16.4, 0.4
NA, 9.5, 19.2, 0
NA, 13, 16.1, 2
NA, 13.5, 17.8, 28.6
NA, 10.4, 18.2, 1.4
NA, 10.5, 18.4, 0.6
NA, 13.1, 19, 0
NA, 12.1, 21.3, 9.8
NA, 9.3, 18.6, 0
NA, 12.5, 16.6, 3.8
NA, 9.5, 15.4, 9.6
NA, 10.2, 17.3, 2.2
NA, 9.6, 17.8, 0
NA, 9.7, 21.6, 0
NA, 12.5, 27.7, 0
NA, 13.2, 16.3, 2.8
NA, 7.8, 14.2, 0
NA, 9.2, 18.8, 0
NA, 8.9, 18.3, 0
NA, 8.4, 19.9, 0
NA, 13.5, 19.8, 0
NA, 10.2, 17.3, 0
NA, 10.1, 18.6, 6
NA, 10.4, 16.8, 0.4
NA, 11.4, 17.8, 0
NA, 12.1, 18.6, 5.8
NA, 10.8, 19.2, 0
NA, 10.4, 18.4, 0
NA, 12.2, 20.3, 0
NA, 16.4, 26.3, 0
NA, 14.4, 21.2, 0
NA, 13.8, 16.1, 20.2
NA, 10.2, 18.2, 20.6
NA, 10, 19.9, 0
NA, 11.3, 23.1, 0
NA, 17, 28.8, 0
NA, 15.1, 19.3, 1.4
NA, 12.7, 16.7, 6
NA, 11.2, 13.7, 29.4
NA, 10.8, 17.3, 31.2
NA, 9.7, 18.3, 3
NA, 10.3, 19.1, 0
NA, 11.9, 24.6, 0
NA, 15.2, 21.6, 0
NA, 14.3, 25.8, 0.4
NA, 19.5, 31.1, 0
NA, 12.2, 19.4, 0
NA, 15, 16.9, 0
NA, 10.2, 22.7, 9.8
NA, 13.8, 23.9, 0
NA, 13.4, 16.5, 3.2
NA, 10.3, 17.4, 1.2
NA, 10.2, 20.4, 0
NA, 11.9, 20.5, 0
NA, 14.8, 21.3, 0
NA, 14.3, 22.1, 0
NA, 13, 23.6, 0
NA, 13, 21.6, 0
NA, 15.5, 23.8, 0
NA, 16.3, 28.7, 0
NA, NA, NA, 0
NA, 15, 18.3, 0.8
NA, 15.1, 22.3, 0.4
NA, 17.3, 26.2, 3
NA, 15.1, 18, 13.6
NA, 14.6, 19.6, 4.8
NA, 12.3, 18, 0
NA, 14, 19.5, 0
NA, 15.1, 20.8, 0.2
NA, 16.1, 22.2, 17
NA, 18, 21, 0.2
NA, 15.8, 25.4, 3
NA, 17.4, 22.9, 0
NA, 16.2, 18.3, 2.2
NA, 13.6, 16.7, 19.6
NA, 9.6, 17.5, 13.2
NA, 12.3, 19.5, 0.2
NA, 11.2, 21.7, 1.4
NA, 13, 22.7, 0
NA, 16.1, 24.7, 0
NA, 18.8, 24.5, 0
NA, 18.7, 25.9, 0
NA, 19.3, 26.5, 0
NA, 13.7, 21.8, 14.6
NA, 14.2, 26.1, 0
NA, 17, 28.1, 0
NA, 17.3, 21.2, 1.8
NA, 17.6, 24.6, 0.6
NA, 18.8, 24.9, 0
NA, 19.1, 26.5, 0
NA, 19.4, 28.6, 0
NA, 20.2, 25.7, 0
NA, 18.9, 27.2, 0
NA, 19, 23, 3
NA, 18, 21.6, 0
NA, 18, 22, 0
NA, 18.6, 25.1, 0
NA, 19.1, 28.9, 4.8
NA, 15.4, 23.1, 0.4
NA, 14.4, 25.1, 0
NA, 15.6, 23.3, 0
NA, 16.7, 22.1, 0
NA, 18.7, 22.4, 0
NA, 17.6, 20.9, 1.8
NA, 16.7, 23.1, 0
NA, 19.6, 24.8, 0
NA, 17.6, 25.7, 5.6
NA, 14.9, 21.7, 0
NA, 14.6, 20.9, 13.2
NA, 15.7, 22.6, 7.6
NA, 15, 23.4, 0
NA, 15, 22.9, 23
NA, 16.2, 26.4, 0
NA, 14.5, 21.2, 5.2
NA, 16.4, 23.3, 0
NA, 17.6, 27.3, 0
NA, 20.7, 25.4, 0
NA, 20.1, 25.9, 0
NA, 21.4, 25.5, 0.8
NA, 21.4, 25.8, 8.2
NA, 20.8, 28.2, 0.4
NA, 20, 22.5, 0.2
NA, 17.1, 24.1, 24.2
NA, 15.8, 23.2, 0
NA, 15.2, 23.7, 0
NA, 17.3, 27.3, 0
NA, 21.2, 29.3, 0
NA, 17.8, 23.4, 7.8
NA, 17.6, 24, 0.4
NA, 17.9, 27.6, 0
NA, 21.6, 31.8, 0
NA, 20.6, 28.4, 0
NA, 23, 28.9, 0
NA, 20.5, 33.4, 0
NA, 23.2, 39.6, 0
NA, 20.9, 26.5, 0
NA, 21, 25.5, 0
NA, 20.3, 23.4, 0
NA, 18.5, 28.5, 1.8
NA, 22.5, 25.7, 0
NA, 19.6, 24.5, 0
NA, 21.2, 29.6, 0
NA, 20.6, 22.8, 0.8
NA, 19, 25.4, 0
NA, 19.2, 26.1, 0
NA, 20.1, 28.3, 0
NA, 18.1, 20.5, 54
NA, 18.2, 25.8, 34.6
NA, 19.9, 27.1, 7.4
NA, 22.1, 29, 0
NA, 21.4, 26.1, 0
NA, 19.4, 22.8, 3
NA, 19.1, 24, 4.8
NA, 19.3, 24.5, 0
NA, 18.3, 25.9, 0
NA, 19.7, 27.2, 0
NA, 22.3, 27.8, 0
NA, 20.3, 26.9, 0
NA, 20, 26.9, 0
NA, 20.4, 24.6, 0
NA, 20, 23.5, 0
NA, 18.6, 24.6, 0.2
NA, 16.7, 26.3, 0
NA, 19.5, 27.7, 0
NA, 21, 26.7, 0
NA, 20.2, 27.1, 0
NA, 21.2, 32.8, 0
NA, 22.6, 29.5, 0.4
NA, 22.5, 38.4, 0
NA, NA, NA, 0
NA, 20.7, 32.6, 5.2
NA, 20.2, 26.8, 0
NA, 18.2, 22.4, 0
NA, 16.4, 23.8, 0
NA, 19.4, 25.7, 0
NA, 20.1, 26, 4.4
NA, 20.9, 26.6, 5
NA, 19.3, 26.5, 2.4
NA, 19.1, 26.3, 0
NA, 21.9, 26.7, 0
NA, 21.7, 26.7, 0
NA, 21.6, 31.7, 0
NA, 21.1, 26.2, 0
NA, 21.4, 23.4, 0
NA, 20.6, 24.9, 0.4
NA, 20.5, 27.7, 1.2
NA, 20.6, 26.6, 2.6
NA, 18.2, 21.4, 51
NA, 17.2, 23.4, 65.8
NA, 16.9, 25.2, 0
NA, 14.6, 23.5, 0
NA, 17.4, 24.2, 2.2
NA, 15.6, 25.1, 0
NA, 17.2, 25.5, 0
NA, 17.1, 25.7, 0
NA, 18.3, 24.4, 0
NA, 19.6, 25.7, 0.6
NA, 20.5, 23.3, 3.2
NA, 18.8, 23.8, 11.4
NA, 19.5, 25.1, 0
NA, 19.4, 26.2, 5.6
NA, 19, 24.4, 3.2
NA, 18.9, 22.4, 26.4
NA, 19, 25.3, 14.4
NA, 17.8, 28.2, 0
NA, 20.6, 26.6, 0
NA, 21, 32.9, 0
NA, 18.5, 24.5, 0
NA, 13.4, 22.2, 0
NA, 15.2, 24.1, 0
NA, 15.5, 28.9, 0
NA, 19.5, 24.1, 0
NA, 16.4, 22.1, 2.8
NA, 16.1, 22.2, 0.8
NA, 15.5, 23.5, 0
NA, 17.5, 22.1, 0
NA, 17.6, 25.9, 9.6
NA, 16.4, 29.3, 0
NA, 16.4, 25.8, 0.2
NA, 15.8, 23.2, 0
NA, 17.4, 26.6, 0
NA, 14.3, 22.7, 0
NA, 17.4, 24.3, 0
NA, 16.9, 19.9, 0
NA, 14.1, 21.4, 0
NA, 9.6, 19.6, 0
NA, 10.8, 20.4, 0
NA, 11.1, 21.4, 0
NA, 13.1, 22.2, 0
NA, 15.7, 24.2, 0
NA, 15, 21.9, 0
NA, 14.8, 23.4, 0
NA, 16.9, 23.1, 0.2
NA, 13, 20.6, 3.2
NA, 11.7, 22.4, 0
NA, 17.1, 27.6, 0.2
NA, 21.1, 29.1, 0
NA, NA, NA, 0.6
NA, 14.4, 21.9, 1.8
NA, 11.5, 21.3, 0
NA, 14.6, 22.5, 6.4
NA, 16, 18.5, 0.4
NA, 14.7, 20.2, 2.4
NA, 13.3, 22.2, 0
NA, 13.2, 21.1, 0.6
NA, 14.9, 18.7, 2.8
NA, 16, 21.2, 29.2
NA, 14.3, 25.6, 2.8
NA, 15.6, 17.6, 17
NA, 14.1, 18.5, 16.4
NA, 14.7, 15.8, 2.2
NA, 13.8, 16.6, 17.6
NA, 12.3, 17.6, 5.2
NA, 12.4, 19.2, 6.2
NA, 11.3, 20.4, 0.4
NA, 11.5, 14.4, 0
NA, 9.8, 18.7, 0
NA, 10.3, 19.9, 0
NA, 9.1, 17.3, 0
NA, 9.8, 17.4, 0
NA, 8.9, 19.3, 0
NA, 9.6, 18.6, 0
NA, 8.5, 17.7, 0
NA, 9, 19.6, 0
NA, 11.5, 19, 2.4
NA, 12, 19.2, 11
NA, 14.5, 18.3, 0.6
NA, 9.8, 18.5, 0.2
NA, 10.4, 21.6, 0
NA, 13.1, 20.3, 0
NA, 14.5, 20.3, 0
NA, 17, 21.4, 0.4
NA, 12.8, 18.2, 0
NA, 9, 19.7, 0
NA, 11, 18.6, 0.2
NA, 10.1, 16.8, 0
NA, 12.8, 17, 0
NA, 11.3, 15.5, 16.4
NA, 11.2, 17.7, 18.6
NA, 11.7, 19.2, 0
NA, 9, 18, 0
NA, 11, 21.6, 0
NA, 10, 21, 0
NA, 10.2, 22.1, 0
NA, 10.5, 19.4, 0
NA, 8.3, 18, 0
NA, 7.3, 19.3, 0
NA, 8.5, 19.4, 0
NA, 8.4, 18.5, 0
NA, 8.3, 19.4, 0
NA, 8.9, 19.7, 0
NA, 8.3, 18, 0
NA, 7.7, 19.3, 0
NA, 9.8, 18.4, 0
NA, 9.5, 19.2, 0
NA, 11.4, 17.7, 37
NA, 15.4, 17.3, 19.6
NA, 15.7, 17, 68.8
NA, 12, 16, 10.2
NA, 9.1, 18.6, 0.2
NA, 9, 19.9, 0
NA, 8.5, 18.7, 0
NA, 9.1, 16.2, 0
NA, 10.9, 20.1, 0
NA, 9.9, 14.6, 0
NA, 5.3, 14.8, 0
NA, 6.4, 17.8, 0
NA, 9, 19.2, 0
NA, 8.5, 17.4, 0
NA, 7.4, 15.3, 0
NA, 7, 16.6, 0
NA, 6.4, 16.8, 0
NA, 5.9, 17.6, 0
NA, 7.7, 19.7, 0
NA, 9.1, 18.6, 0
NA, 9.5, 17.8, 0
NA, 8.1, 17.5, 0
NA, 6.8, 17.5, 0
NA, 8, 19, 0
NA, 10.2, 14.6, 6.6
NA, 9, 17, 0
NA, 6.7, 18.2, 0
NA, 7.9, 18.4, 0
NA, 10.9, 21.3, 0
NA, 10, 18.3, 0
NA, 7.6, 17.7, 0.8
NA, 9.2, 20.5, 0
NA, 11.7, 22.7, 0
NA, 8.8, 17, 0
NA, 8.1, 16.8, 0
NA, 6.7, 15.4, 0
NA, 8, 15.5, 6
NA, 10, 14.8, 8.2
NA, 6.7, 15.5, 0
NA, 6.4, 15.5, 1.2
NA, 6.3, 16.2, 1
NA, 6.3, 17.5, 3.2
NA, 8.2, 17.3, 0
NA, 7, 15.5, 0
NA, 6.7, 16.8, 0
NA, 7.3, 16.8, 0
NA, 6.6, 16.8, 0
NA, 8.2, 19.6, 0
NA, 11.4, 19.7, 0
NA, 7.8, 19.4, 0
NA, 11.2, 18.8, 0
NA, 10.4, 18.2, 0
NA, 10.2, 16.2, 0
NA, 10.4, 17.9, 0
NA, 7.5, 15.9, 0.4
NA, 6.5, 16.2, 0
NA, 5.4, 19.2, 0
NA, 7.5, 19, 0
NA, 7.4, 17.5, 0
NA, 10.4, 17.2, 0.2
NA, 11.4, 23.7, 1.4
NA, 12.8, 21.9, 0
NA, 11.4, 16.8, 0
NA, 8, 19.6, 0
NA, 10.2, 15.8, 0
NA, 8.8, 16.2, 0
NA, 6.7, 16.8, 0
NA, 7.9, 18.4, 0
NA, 10.4, 21.6, 0
NA, 12.4, 17.1, 4
NA, 12.6, 17.2, 1.6
NA, 10.1, 17.1, 0
NA, 9.3, 19.2, 0
NA, 6.4, 14.7, 0
NA, 7.3, 16.3, 0
NA, 10.2, 17.4, 0
NA, 12.9, 20.7, 0.4
NA, 14, 18.2, 0
NA, 9.6, 20.7, 0
NA, 11.4, 18.9, 0
NA, 12.6, 22.1, 0
NA, 12.1, 24, 0
NA, 13, 25.2, 0
NA, 16.8, 18.8, 12.8
NA, 13.2, 20.4, 4.4
NA, 12.5, 19.9, 0
NA, 9.1, 16.9, 0
NA, 7.7, 18, 0
NA, 9.7, 23.2, 0
NA, 14.3, 29.4, 0
NA, 9.9, 16.7, 0
NA, 11, 19.5, 0
NA, 10.8, 18.8, 0
NA, 12.5, 17.4, 0
NA, 11.4, 19.4, 0
NA, 14.6, 18.6, 0
NA, 9.8, 16.7, 2
NA, 11.5, 18.7, 0.6
NA, 12.4, 19.7, 0
NA, 13.5, 21.2, 0
NA, 17.5, 22.4, 0
NA, 16.8, 23.6, 4.8
NA, 14.4, 20.3, 0
NA, 12.2, 18.1, 0
NA, 12, 17.9, 5.6
NA, 10.4, 19.7, 0.2
NA, 16.1, 18.7, 0
NA, 14.5, 19.3, 3.8
NA, 14.2, 23.2, 0.6
NA, 12.7, 20.7, 4.4
NA, 14.1, 21.3, 0
NA, 11.4, 26.9, 0
NA, 17.4, 32.7, 0
NA, 14.8, 21.7, 0.2
NA, 16, 25.4, 0
NA, 13.8, 19.2, 2
NA, 8.4, 20.4, 0
NA, 13, 23.7, 0
NA, 12.8, 17.4, 2.6
NA, 11.9, 19.9, 0
NA, 13.3, 20.9, 0
NA, 16.5, 22.5, 0
NA, 17.9, 22.5, 0
NA, 17.2, 23, 0
NA, 17.2, 23.2, 0
NA, 17.2, 24.7, 0
NA, 16, 25, 20.6
NA, 16.7, 22.4, 0
NA, 14.8, 22.7, 0
NA, 15.2, 31, 0
NA, 14, 16.9, 6
NA, 9.9, 19.5, 0.8
NA, 12.9, 19.9, 0
NA, 12, 21.3, 0
NA, 14.9, 28.3, 0
NA, 15, 21, 0.8
NA, 15.2, 22.5, 1
NA, 16.8, 23.1, 0
NA, 17.2, 25.2, 0
NA, 16.2, 19.3, 2.2
NA, 15.1, 18.1, 0.8
NA, 14.6, 19.8, 0.8
NA, 12.7, 20.5, 0
NA, 15.7, 21.9, 5.8
NA, 18.2, 23.6, 0.6
NA, 19.4, 28.8, 3
NA, 17.4, 22.6, 2
NA, 18, 23, 0
NA, 18.2, 26.9, 0
NA, 18.8, 28.7, 8.4
NA, 19, 23, 0
NA, 17.2, 23.2, 0.2
NA, 17.6, 24.9, 0.2
NA, 19.4, 26.4, 0
NA, 19.7, 26.4, 4.8
NA, 17, 24.6, 0
NA, 18, 24.8, 0
NA, 19.7, 29.8, 6.8
NA, 17.8, 29.8, 20.4
NA, 14.6, 22.7, 8.8
NA, 16.1, 22.7, 0
NA, 17.1, 23.8, 0
NA, 16.5, 21.8, 0
NA, 16.8, 24.8, 0
NA, 18.4, 31.8, 0
NA, 22.3, 36.4, 0
NA, 19.6, 24.8, 0
NA, 20.7, 31.8, 0
NA, 21.9, 39.9, 0.2
NA, 19.6, 24.2, 0.2
NA, 18.5, 24.6, 0.2
NA, 20.5, 38.3, 0
NA, 17.9, 24.6, 0.2
NA, 18.4, 30.5, 0
NA, 19.8, 21.8, 0
NA, 17.9, 22.6, 0
NA, 19.5, 28.7, 0
NA, 19.6, 24.6, 0
NA, 20.7, 26.6, 0
NA, 21.2, 38.3, 0
NA, 17.5, 27.8, 0
NA, 17.3, 23.7, 0
NA, 17.6, 25.1, 0
NA, 19.5, 24, 0
NA, 18.7, 30.7, 0
NA, 19, 25.9, 1.2
NA, 17.7, 37.1, 0
NA, 18.3, 24.5, 0.4
NA, 18.3, 23.6, 0
NA, 18.4, 26.4, 0
NA, 20, 23.6, 0.4
NA, 20.3, 25.1, 0
NA, 18, 24.9, 0
NA, 19.8, 25.2, 0
NA, 19.7, 26.8, 0
NA, 21.3, 25.3, 0
NA, 18, 20.6, 21.8
NA, 19, 24.5, 65.6
NA, 20.1, 28.3, 47
NA, 19.4, 26.3, 0.2
NA, 19.6, 25.7, 0.2
NA, 18.3, 22.1, 0.8
NA, 18.1, 24.6, 0.2
NA, 17.2, 25.8, 0.2
NA, 19.4, 25.2, 0.2
NA, 17.2, 33.8, 3.2
NA, 20.6, 26.9, 0.4
NA, 17, 26.7, 0
NA, 16.1, 24.7, 18
NA, 16.5, 33.2, 6.8
NA, 19.6, 23.9, 0
NA, 18.2, 24.3, 0
NA, 18.7, 39.3, 0
NA, 22, 25.4, 0
NA, 19.6, 24.2, 0
NA, 18.3, 24.4, 8.6
NA, 19.6, 24.1, 0
NA, 20, 30.7, 0
NA, 19.4, 24.3, 0
NA, 21.2, 28.3, 0
NA, 22, 33.7, 0
NA, 19.4, 22.1, 0
NA, 19.4, 26.8, 0
NA, 20.8, 34.8, 0
NA, 20.7, 26.7, 0
NA, 22.9, 28.4, 0
NA, 23.1, 29.7, 0
NA, 22.4, 30.3, 54.8
NA, NA, NA, 1
NA, 17.4, 25.4, 3
NA, 18.9, 23.7, 0
NA, 19.5, 25.7, 2.6
NA, 18, 21.9, 0
NA, 16.7, 31.2, 0
NA, 18.1, 21.9, 0
NA, 18.2, 21.8, 0
NA, 16.4, 25.2, 0
NA, 17, 26, 0
NA, 17.6, 26, 0
NA, 20.7, 25.9, 0
NA, 16.9, 26.3, 0
NA, 17.5, 26.3, 0
NA, 19.3, 26.7, 0
NA, 20.5, 27.2, 0
NA, 21.2, 27.6, 0
NA, 20.7, 29.8, 0
NA, 22.2, 41.3, 0
NA, 22, 24.9, 1.4
NA, 19.8, 24.5, 10.2
NA, 18.9, 35.3, 0
NA, 18.7, 23.6, 0
NA, 18.2, 24.7, 0
NA, 18.1, 26.3, 0
NA, 20, 28.7, 2.2
NA, 19.7, 26.6, 0
NA, 19.2, 25.8, 0
NA, 20.6, 27.5, 0
NA, 22.3, 28.5, 0
NA, 20.9, 29.7, 0
NA, 23.7, 26.8, 0
NA, 22.8, 26.6, 0
NA, 20.1, 26.1, 0
NA, 17.6, 26.2, 0
NA, 15.9, 19.2, 8.2
NA, 15.1, 21, 29.2
NA, 14.2, 21.6, 10.2
NA, 15, 21.7, 5.2
NA, 14.8, 21.3, 9.8
NA, 15.3, 28.7, 3.2
NA, 15.7, 30.1, 0
NA, 16.3, 27.6, 0
NA, 21, 25.3, 0
NA, 17.1, 26.5, 0
NA, 19, 37.3, 0
NA, 20.6, 24.9, 0
NA, 17.9, 29.9, 0
NA, 20.6, 24.5, 0
NA, 20.2, 24.8, 0
NA, 20.2, 26.6, 0
NA, 20.7, 25.6, 0
NA, 20.7, 26.3, 0
NA, 21.2, 26.7, 0
NA, 22.1, 28.1, 0
NA, 18, 28.3, 0
NA, 17.7, 28.3, 0
NA, 16, 23.4, 0
NA, 14.5, 30, 0
NA, 16.6, 23.1, 0
NA, 16.1, 33.5, 0
NA, 16.3, 24.4, 0
NA, 14.5, 24.4, 0
NA, 15.4, 23.5, 0
NA, 16.1, 21.4, 1.2
NA, 13.8, 22.8, 0
NA, 13.3, 22, 0
NA, 14.5, 22.4, 0
NA, 13.9, 23.2, 0
NA, 14.5, 23.4, 0
NA, 14.8, 24.3, 0
NA, 16.1, 24.7, 0
NA, 18.5, 24.6, 0
NA, 18.1, 24.4, 0.4
NA, 17.8, 23.1, 0
NA, 17, 22.7, 0
NA, 16.6, 23.2, 0
NA, 18.5, 23, 0
NA, 15, 23.7, 4.8
NA, 14.7, 25.4, 0.2
NA, 15.7, 29.3, 0
NA, 16.5, 26.3, 0.4
NA, 13.5, 23.7, 0
NA, 16.9, 23.4, 4.4
NA, 14.7, 18, 0.2
NA, 9.8, 20, 0
NA, 10.2, 19.8, 0
NA, 13.1, 21.7, 0
NA, 12.5, 21.1, 20.2
NA, 14.1, 21.3, 6.4
NA, 14.3, 19.5, 4
NA, 14.2, 20.9, 24.2
NA, 13.6, 21.8, 0.2
NA, 13.7, 21.9, 0.6
NA, 14, 22.6, 2.4
NA, 16.3, 20.9, 2.6
NA, 17.8, 20.9, 9
NA, 16.5, 22.2, 21
NA, 18.1, 26.9, 0
NA, 16.3, 22.8, 0
NA, 12.9, 20.6, 0
NA, 14.2, 20.7, 2.8
NA, 13.5, 20, 2.6
NA, 13.9, 20.2, 4.6
NA, 12, 22.3, 0
NA, 10.7, 19, 0
NA, 10.5, 22.5, 0
NA, 11.4, 20.8, 0
NA, 8.6, 17.7, 0
NA, 7.5, 18, 0
NA, 10.4, 21.2, 0
NA, 9.5, 19.7, 0
NA, 10.2, 20.8, 0
NA, 12.5, 19.5, 0.2
NA, 14.4, 18.2, 0.2
NA, 14.9, 18.1, 7.8
NA, 14.2, 18.4, 10.8
NA, 14.1, 21, 5.2
NA, 13.9, 19.4, 0
NA, 13.7, 19.9, 0.4
NA, 12, 20.5, 0.8
NA, 8.1, 16.3, 0.4
NA, 10, 16.2, 0
NA, 9.7, 16.4, 0
NA, 8.5, 18.8, 0
NA, 8.1, 18.9, 0
NA, 8.5, 18.2, 0
NA, 10.4, 21.7, 0
NA, 13, 17.7, 8.2
NA, 8.7, 17.2, 0
NA, 9.5, 15.6, 0
NA, 10.6, 15.7, 12.8
NA, 11.4, 15.8, 2.6
NA, 11.9, 17.4, 12.2
NA, 12.1, 21.3, 2
NA, 11.3, 19.4, 0
NA, 9.5, 16.9, 0
NA, 10.9, 15.3, 0.8
NA, 10.2, 16.8, 6.6
NA, 8.4, 17.6, 0
NA, 7.8, 18.1, 0
NA, 8.1, 18.7, 0
NA, 7.8, 19.9, 0
NA, 7.4, 18.6, 0
NA, 8, 21.6, 0
NA, 10, 17.7, 0
NA, 10.7, 14.4, 1
NA, 9.4, 15.7, 0
NA, 11.6, 18.3, 0
NA, 7.8, 15.6, 0
NA, 8.6, 16.4, 0
NA, 8.8, 17.5, 1
NA, 9.4, 14.7, 0
NA, 9.2, 16.3, 0
NA, 8.8, 17.7, 0
NA, 6, 17.7, 0
NA, 8.8, 17.8, 0
NA, 6.7, 15.3, 0
NA, 7, 15.4, 0
NA, 5.4, 12.3, 0
NA, 5.6, 17.2, 0
NA, 5.7, 16.7, 0
NA, 9, 19.3, 0
NA, 9.1, 18.4, 0
NA, 10.5, 18.8, 0
NA, 8.2, 19, 0
NA, 7.6, 19, 0
NA, 7.9, 16.8, 0
NA, 5.7, 14.2, 0
NA, 7.8, 16.1, 0
NA, 6.8, 15.8, 0
NA, 9.1, 15.7, 1.8
NA, 9.3, 16.4, 23.8
NA, 10.5, 16.3, 6.8
NA, 11.3, 14.9, 4
NA, 11.5, 17.8, 3.4
NA, 12, 16.6, 1.2
NA, 10.8, 18.1, 2
NA, 7.5, 17.8, 0
NA, 7.6, 15.7, 0
NA, 6.8, 17.8, 0
NA, 7, 18.2, 0
NA, 9.3, 17.2, 0.4
NA, 8.1, 18.5, 0
NA, 7.1, 18, 0
NA, 7.2, 17.7, 0
NA, 8.5, 23.9, 0
NA, 12.3, 19.3, 0
NA, 8.2, 18.5, 0
NA, 8.2, 21.6, 0
NA, 9.4, 25.2, 0
NA, 10.3, 22.1, 0
NA, 10, 18.5, 0
NA, 10.2, 23.2, 0.6
NA, 12.6, 15.6, 0
NA, 6.8, 16.7, 0
NA, 9.4, 17.2, 1.2
NA, 10.2, 18.8, 0.6
NA, 9.4, 19.5, 0
NA, 11, 21, 0
NA, 13.6, 22.5, 1.4
NA, 9.7, 20.8, 0
NA, 10, 24, 0
NA, 12.9, 24.5, 0
