Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 4.9, 15.7, 0.3
NA, 4.9, 15.7, 0
NA, 4.4, 15.2, 0
NA, 6.4, 17.1, 0
NA, 8.4, 13.1, 1.3
NA, 10.3, 16, 6.4
NA, 10.9, 18.5, 1.5
NA, 11.3, 17.7, 1.3
NA, 8.8, 14.9, 0
NA, 6.4, 15.2, 0
NA, 6.7, 17.8, 0
NA, 6.1, 16.4, 0
NA, 8.4, 15.4, 0
NA, 8.4, 12.8, 0
NA, 8.4, 15, 3.6
NA, 8.3, 18.2, 1
NA, 10, 15.8, 0
NA, 8.3, 14.9, 0.3
NA, 4.3, 16.3, 0
NA, 8.1, 16.3, 0
NA, 8.9, 14.9, 0
NA, 9.3, 18.5, 2.3
NA, 8.3, 17.2, 0
NA, 7.4, 18.9, 0
NA, 8.2, 17.7, 0
NA, 8.8, 19.5, 0
NA, 10.6, 13.8, 5.1
NA, 10.5, 19.4, 12.2
NA, 9.8, 19.4, 0
NA, 7.1, 20.3, 0
NA, 8.1, 21, 0
NA, 9.1, 18.2, 0
NA, 8.7, 17.1, 0
NA, 7.8, 17.3, 0
NA, 6.2, 16.6, 0
NA, 6.7, 15, 0.5
NA, 6.2, 14.1, 1.3
NA, 5.6, 16.2, 0
NA, 8.2, 19.6, 0
NA, 7.3, 20.1, 0
NA, 9, 20.9, 0
NA, 11.4, 16.4, 2.5
NA, 10.6, 15.6, 140
NA, 11.2, 19.9, 8.4
NA, 13.3, 23.1, 0
NA, 11.2, 19.4, 0
NA, 10.1, 16.9, 0
NA, 9.5, 18.9, 0
NA, 7.6, 15.9, 0
NA, 8.5, 21.1, 0
NA, 11.4, 19.8, 0
NA, 8.6, 19.4, 0
NA, 8.9, 15.5, 0
NA, 6.6, 17.1, 0
NA, 7.8, 18.8, 0
NA, 10.6, 16.6, 0
NA, 8.7, 17.7, 0
NA, 7.8, 19.4, 0
NA, 10.5, 21.3, 0
NA, 8.9, 19.4, 0
NA, 10.9, 24.7, 0
NA, 14.5, 17.6, 3.8
NA, 7.7, 16.6, 1.3
NA, 7.4, 15.1, 0
NA, 8.7, 17.9, 0
NA, 9.5, 19, 0
NA, 13.7, 20.3, 2.5
NA, 12.6, 16.6, 32.3
NA, 12.4, 17.4, 1.3
NA, 8.3, 18.8, 0
NA, 11.7, 23.2, 0
NA, 14.6, 27.7, 0
NA, 16.4, 21.7, 9.4
NA, 13.4, 22, 0
NA, 12.8, 25.6, 0
NA, 17.8, 25.8, 0
NA, 15.4, 21, 0
NA, 16.4, 22.6, 3.3
NA, 13.7, 21.6, 0
NA, 12.4, 19.8, 0
NA, 12.9, 25, 0
NA, 16.9, 27.7, 0
NA, 21.7, 32.7, 0
NA, 17, 27.2, 0
NA, 13, 26.1, 0
NA, 11.8, 20.9, 0
NA, 10.3, 18.4, 1.3
NA, 10.2, 22.3, 0
NA, 17.1, 28.4, 0
NA, 12.8, 24.6, 0
NA, 12.7, 29.1, 0
NA, 15.3, 24.2, 0
NA, 12.6, 22.7, 0
NA, 12.9, 20.1, 0
NA, 13.5, 21.9, 0
NA, 14.6, 26.6, 0
NA, 16.3, 32.1, 0.3
NA, 15.7, 22.3, 0
NA, 12.7, 21.4, 0
NA, 11.2, 21, 0
NA, 12.1, 17.7, 0
NA, 10.5, 20.3, 0
NA, 14.6, 19.4, 0
NA, 13.2, 20.6, 0
NA, 14.8, 28.8, 0.3
NA, 16, 23.2, 0
NA, 15, 25.1, 0
NA, 15, 33, 0
NA, 13.7, 21.8, 0
NA, 12.8, 24.6, 0
NA, 12.9, 19.2, 0
NA, 13.2, 22.4, 0
NA, 13.9, 31.2, 0
NA, 12.4, 18.4, 0
NA, 14.1, 19.3, 4.8
NA, 13.4, 21.3, 0
NA, 14.6, 23.6, 0
NA, 15.4, 24.6, 0
NA, 17.3, 23.3, 0
NA, 17.8, 21.2, 1.8
NA, 11.6, 18.6, 10.7
NA, 10.7, 19.1, 0
NA, 12.3, 21.2, 1.3
NA, 14.6, 21.7, 0
NA, 15.4, 20, 0
NA, 16.1, 26, 0
NA, 16, 21.4, 2.8
NA, 14.1, 16, 6.4
NA, 12.9, 19.3, 30.5
NA, 14.1, 21.5, 0
NA, 15.4, 26.8, 1.3
NA, 15.7, 26.5, 0
NA, 19.6, 23.3, 0
NA, 13.5, 26, 3.8
NA, 13.1, 22.5, 0
NA, 12.6, 26.8, 0
NA, 16.2, 21.4, 0
NA, 15.6, 19.4, 0
NA, 14.1, 19.9, 0
NA, 12.4, 21.4, 0
NA, 16.4, 24.3, 0
NA, 16.7, 29.3, 2
NA, 15.7, 20.4, 10.4
NA, 15.2, 21.1, 1.8
NA, 14.1, 20.6, 0
NA, 14.3, 26.6, 0
NA, 17.4, 35.2, 0
NA, 15.8, 23.7, 0
NA, 18.5, 23.6, 0
NA, 15.3, 19, 28.2
NA, 15.6, 21.9, 45
NA, 18.2, 23.4, 14.7
NA, 18.7, 25.1, 0
NA, 17.2, 26.9, 0
NA, 16.2, 24.5, 0
NA, 16.7, 24.4, 0
NA, 18.9, 25.5, 0
NA, 14.2, 17.7, 17.5
NA, 14.4, 17.6, 4.1
NA, 14.1, 20.2, 1
NA, 15.4, 23.2, 0.5
NA, 15.8, 20.4, 0
NA, 17.4, 22.2, 0.3
NA, 19.7, 24.3, 0.3
NA, 20.2, 25.2, 0.3
NA, 20.8, 27.3, 0
NA, 20.6, 27.8, 0
NA, 21.1, 28.8, 0
NA, 21.3, 29.7, 4.3
NA, 20.4, 25.3, 9.4
NA, 17.6, 21.8, 4.3
NA, 17.9, 24.4, 0.3
NA, 16.9, 29.9, 0
NA, 24.2, 28.2, 0
NA, 16, 25.7, 0.5
NA, 15.3, 24, 0
NA, 20.1, 25.3, 0
NA, 21.3, 25.5, 0
NA, 19.3, 24.5, 0.8
NA, 18, 22.8, 5.3
NA, 17.8, 24.5, 14.7
NA, 19.4, 25.4, 0
NA, 20, 26.6, 0
NA, 19.9, 26.8, 0
NA, 19.6, 27, 0
NA, 20, 29.3, 0
NA, NA, NA, 34.8
NA, 15.2, 20.4, 71.1
NA, 16.8, 22.8, 88.6
NA, 19.3, 23.9, 11.7
NA, 19.8, 25.8, 36.3
NA, 20.2, 25.4, 5.1
NA, 18.6, 22.7, 5.8
NA, 16.9, 23.8, 0
