"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spei
1936-01, -99.9
1936-02, -99.9
1936-03, -99.9
1936-04, -99.9
1936-05, -99.9
1936-06, -99.9
1936-07, -99.9
1936-08, -99.9
1936-09, -99.9
1936-10, -99.9
1936-11, -99.9
1936-12, -99.9
1937-01, -99.9
1937-02, -99.9
1937-03, -99.9
1937-04, -99.9
1937-05, -99.9
1937-06, -99.9
1937-07, -99.9
1937-08, -99.9
1937-09, -99.9
1937-10, -99.9
1937-11, -99.9
1937-12, -0.953950782341192
1938-01, -0.780032083921193
1938-02, -0.772743747550853
1938-03, -0.910202983225762
1938-04, -0.926566419768004
1938-05, -0.8405637300334
1938-06, -0.885214067054606
1938-07, -0.808541955183117
1938-08, -0.496565007023706
1938-09, -0.429023299391038
1938-10, -0.354957346879941
1938-11, -0.291061395846675
1938-12, -0.536885025697435
1939-01, -0.526912500276938
1939-02, -0.496846467980544
1939-03, -0.348484303284944
1939-04, -0.471563579917019
1939-05, -0.328966817400497
1939-06, -1.02947091068182
1939-07, -1.1395714687628
1939-08, -1.22735767374196
1939-09, -1.09898471704822
1939-10, -1.22950795408913
1939-11, -1.31931387918652
1939-12, -1.42898098598562
1940-01, -1.72791441263975
1940-02, -1.79703745857938
1940-03, -1.91314412932525
1940-04, -1.75616361220459
1940-05, -1.745623518534
1940-06, -1.6100323093106
1940-07, -1.57786505695078
1940-08, -1.79975843944843
1940-09, -1.77239676432222
1940-10, -1.82991453247489
1940-11, -1.76968362060767
1940-12, -1.45603092670801
1941-01, -1.39522145601705
1941-02, -1.23008488947247
1941-03, -1.69497073090498
1941-04, -1.72381613318008
1941-05, -1.85307752177392
1941-06, -1.71592461649435
1941-07, -1.71950728664619
1941-08, -1.69021868732863
1941-09, -1.72135090180235
1941-10, -1.76216281297743
1941-11, -1.76545079000823
1941-12, -1.73765984310562
1942-01, -1.68788110119934
1942-02, -1.60582303836983
1942-03, -0.710126897923401
1942-04, -1.02621490025894
1942-05, -1.25578208863563
1942-06, -0.983890129470487
1942-07, -1.11242573800828
1942-08, -1.20300295070492
1942-09, -1.29581385209703
1942-10, -1.15001734980038
1942-11, -1.03633005302184
1942-12, -1.23440326426619
1943-01, -1.30700071521016
1943-02, -1.31178657372171
1943-03, -1.36779677315762
1943-04, -1.47562968131142
1943-05, -0.926085067609874
1943-06, -0.881239387952075
1943-07, -0.988710745759408
1943-08, -0.760174215801512
1943-09, -0.388746203065125
1943-10, -0.442821493247414
1943-11, -0.0552261092724819
1943-12, 0.0843971667621504
1944-01, 0.150357902723986
1944-02, 0.278813880892654
1944-03, -0.615006566653177
1944-04, -0.544857667483441
1944-05, -0.414086841673235
1944-06, -0.465312567942605
1944-07, -0.40911632427692
1944-08, -0.240897390006571
1944-09, -0.185024927392304
1944-10, -0.532635985585431
1944-11, -0.813504986455949
1944-12, -0.950574799630114
1945-01, -0.964460196465374
1945-02, -0.766330655727883
1945-03, -0.772014577325031
1945-04, -0.241257346221326
1945-05, -0.597281837581963
1945-06, -0.161089031368439
1945-07, -0.0161608357215217
1945-08, -0.359674950508127
1945-09, -0.778952894446274
1945-10, -0.847961592839175
1945-11, -1.20131190829735
1945-12, -1.24725116062257
1946-01, -1.328052461888
1946-02, -1.24583549315505
1946-03, -1.22172631237537
1946-04, -0.879103917712411
1946-05, -0.954790914822418
1946-06, -0.704642908113193
1946-07, -0.910899924382142
1946-08, -1.19138043122078
1946-09, -1.19217875503896
1946-10, -1.15592955328102
1946-11, -1.02764448971132
1946-12, -1.00355130360004
1947-01, -1.06909355054608
1947-02, -0.769473878746335
1947-03, -0.70139715114377
1947-04, -1.00807470109114
1947-05, -1.1640160982098
1947-06, -1.39935295747629
1947-07, -1.56918458245053
1947-08, -1.5838739845558
1947-09, -1.55907531273566
1947-10, -1.57705270638061
1947-11, -1.48600847508445
1947-12, -1.22019780378189
1948-01, -0.838061554894217
1948-02, -0.742044243073389
1948-03, -0.770523919648283
1948-04, -1.233916966993
1948-05, -1.14402724108717
1948-06, -1.02740472125317
1948-07, -1.01588373620087
1948-08, -1.03123523920307
1948-09, -0.920916075467228
1948-10, -1.10004400353845
1948-11, -1.2026314620263
1948-12, -1.05396820356531
1949-01, -0.655310645746993
1949-02, -0.545580525470591
1949-03, -0.450984774476186
1949-04, -0.795980311336096
1949-05, -0.807327050605966
1949-06, -0.00606721211657753
1949-07, 0.0647015627304511
1949-08, 0.183936665713494
1949-09, 0.614666311922858
1949-10, 0.571736208739907
1949-11, 0.533652232229316
1949-12, 0.203590448431769
1950-01, -0.0335892888372625
1950-02, 0.236460088300329
1950-03, 0.36994511729702
1950-04, 0.595035288461864
1950-05, 0.716321096648201
1950-06, 1.35959315830127
1950-07, 1.76910765399272
1950-08, 1.98813238943569
1950-09, 1.95065358775548
1950-10, 2.21487972387852
1950-11, 2.44488911064479
1950-12, 2.31025743508391
1951-01, 2.57050440236346
1951-02, 2.02278633745645
1951-03, 2.00434175716477
1951-04, 2.09119778404548
1951-05, 2.1329189151688
1951-06, 1.91768616035542
1951-07, 1.89097340394031
1951-08, 2.05677246409143
1951-09, 1.83402627803921
1951-10, 1.9422517050024
1951-11, 1.88729214092442
1951-12, 1.82384507656143
1952-01, 1.764411777535
1952-02, 1.38037371867428
1952-03, 1.30145278888877
1952-04, 1.43843732730509
1952-05, 1.3055088351871
