"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spei
1936-01, -99.9
1936-02, -99.9
1936-03, -99.9
1936-04, -99.9
1936-05, -99.9
1936-06, -99.9
1936-07, -99.9
1936-08, -99.9
1936-09, -99.9
1936-10, -99.9
1936-11, -99.9
1936-12, -1.53159037892405
1937-01, -1.72779163839642
1937-02, -1.9574879905805
1937-03, -1.71519068131633
1937-04, -1.55523704998073
1937-05, -1.70355612961241
1937-06, -0.524359081351812
1937-07, -0.331459070389617
1937-08, -0.0343196766405205
1937-09, -0.0666107876490935
1937-10, 0.130376679195658
1937-11, 0.42957684393547
1937-12, 0.270918737469483
1938-01, 0.781412886112237
1938-02, 0.90177713034874
1938-03, 0.316261805970833
1938-04, 0.100358047063371
1938-05, 0.387552579821602
1938-06, -1.01052710273478
1938-07, -1.04110896509621
1938-08, -0.622582317050125
1938-09, -0.40482279973272
1938-10, -0.542252024047382
1938-11, -0.705054361886245
1938-12, -0.908706905450769
1939-01, -1.43560764930623
1939-02, -1.60669467015865
1939-03, -0.931739112202593
1939-04, -0.764030907463635
1939-05, -0.842562905194289
1939-06, -0.804237761584896
1939-07, -0.958310478019686
1939-08, -1.42307939493104
1939-09, -1.32543577793646
1939-10, -1.33478002739985
1939-11, -1.2686412954653
1939-12, -1.23854884947077
1940-01, -1.50327480929712
1940-02, -1.41225115044241
1940-03, -2.17199685012113
1940-04, -2.30790492161535
1940-05, -2.15542113612532
1940-06, -2.14067503195179
1940-07, -1.8718973917187
1940-08, -1.8577948310634
1940-09, -1.84864604162692
1940-10, -1.68963830415138
1940-11, -1.58362801149496
1940-12, -0.959295643447708
1941-01, -0.798463766143634
1941-02, -0.579472675300585
1941-03, -0.499101455610105
1941-04, -0.689159887124513
1941-05, -1.07465671560851
1941-06, -1.03407211970393
1941-07, -1.25027273718867
1941-08, -1.17190119251232
1941-09, -1.20761544817957
1941-10, -1.19738957556231
1941-11, -1.25984710920851
1941-12, -1.74105662921526
1942-01, -1.94060607888328
1942-02, -1.98716034906379
1942-03, -0.727155439042416
1942-04, -0.975800332234502
1942-05, -0.998829351103216
1942-06, -0.69145762260526
1942-07, -0.692366611110839
1942-08, -0.832076639659869
