"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spei
1936-01, -99.9
1936-02, -99.9
1936-03, -0.130933660040516
1936-04, -0.555692092487351
1936-05, -1.18663920933563
1936-06, -1.17805301302508
1936-07, -1.45808514823417
1936-08, -1.33011725072732
1936-09, -1.0775138889316
1936-10, -1.21630639985353
1936-11, -1.76229029193212
1936-12, -0.909776784369755
1937-01, -1.1564218184587
1937-02, -0.58732934141912
1937-03, -0.46419566876246
1937-04, 0.187300154707758
1937-05, 0.209969537420905
1937-06, 1.15345578010976
1937-07, 1.49903820907201
1937-08, 1.85968040203473
1937-09, -0.154860792085233
1937-10, -0.131613864455303
1937-11, -0.275303312472409
1937-12, 0.255650222100418
1938-01, 0.833278612882914
1938-02, 0.507963914558764
1938-03, -0.217842239389659
1938-04, -1.28511964917206
1938-05, -1.25497548358138
1938-06, -1.18579475513907
1938-07, -1.11078197730032
1938-08, 0.129270996269972
1938-09, 0.852109857524226
1938-10, 0.749348578578189
1938-11, -0.583839060146253
1938-12, -1.14492320408054
1939-01, -1.66310693233381
1939-02, -1.92066461063068
1939-03, -0.0659405885883169
1939-04, 0.126637777997852
1939-05, 0.716491447570917
1939-06, -0.847604771789237
1939-07, -1.5432292477251
1939-08, -1.32100849694369
1939-09, -0.305672053041645
1939-10, -0.286318289973812
1939-11, -0.573531432427566
1939-12, -1.27052714963189
1940-01, -2.2934549217525
1940-02, -2.50397696931658
1940-03, -2.90458338086489
1940-04, -1.24459229638578
1940-05, -0.289042827049493
1940-06, 0.175106561833346
1940-07, 0.0506238582777538
1940-08, -0.543749682320535
1940-09, 0.279188570960051
1940-10, -0.307049413904667
1940-11, -0.427576435302168
1940-12, 0.692111820831476
1941-01, 0.675763416207826
1941-02, 0.436241502435617
1941-03, -1.31350572528277
1941-04, -1.19433519155262
1941-05, -1.33878074845601
1941-06, -0.971356351872697
1941-07, -1.35788960069193
1941-08, -0.823788230957477
1941-09, -0.248084106385495
1941-10, -0.459743990678671
1941-11, -1.03228782462326
1941-12, -1.2853586264455
1942-01, -2.25047118638614
1942-02, -1.80373289270977
1942-03, 1.0093444335768
1942-04, 1.02568336290457
1942-05, 1.17515740958628
