"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1936-01, -99.9
1936-02, -99.9
1936-03, -99.9
1936-04, -99.9
1936-05, -99.9
1936-06, -99.9
1936-07, -99.9
1936-08, -99.9
1936-09, -99.9
1936-10, -99.9
1936-11, -99.9
1936-12, -99.9
1937-01, -99.9
1937-02, -99.9
1937-03, -99.9
1937-04, -99.9
1937-05, -99.9
1937-06, -99.9
1937-07, -99.9
1937-08, -99.9
1937-09, -99.9
1937-10, -99.9
1937-11, -99.9
1937-12, -0.90784112912483
1938-01, -0.650654056418565
1938-02, -0.651478567577658
1938-03, -0.810894315632341
1938-04, -0.814480639996945
1938-05, -0.744660063230922
1938-06, -0.788856398284167
1938-07, -0.709522935422997
1938-08, -0.382468389599324
1938-09, -0.349371763294285
1938-10, -0.288459704676223
1938-11, -0.22942303118408
1938-12, -0.431451652411309
1939-01, -0.378827122958762
1939-02, -0.385109259386132
1939-03, -0.31216542969674
1939-04, -0.414540682693187
1939-05, -0.297504260209828
1939-06, -0.999923390407924
1939-07, -1.13944692539641
1939-08, -1.2461327825721
1939-09, -1.10306417552212
1939-10, -1.24106106344354
1939-11, -1.36703939867687
1939-12, -1.44900520965067
1940-01, -2.01675208143221
1940-02, -2.0021795041312
1940-03, -2.10729357282364
1940-04, -1.9271381956927
1940-05, -1.82707093099306
1940-06, -1.60807708134038
1940-07, -1.54004691404482
1940-08, -1.95022454519353
1940-09, -1.85614663782992
1940-10, -1.97464502858884
1940-11, -1.97319270181517
1940-12, -1.43815220219561
1941-01, -1.41852109633661
1941-02, -1.1805971330919
1941-03, -1.75922420417063
1941-04, -1.83015010352019
1941-05, -1.9456763282204
1941-06, -1.70751452498803
1941-07, -1.68408494059676
1941-08, -1.7481393321378
1941-09, -1.76874449752503
1941-10, -1.85919289498906
1941-11, -1.96080517605969
1941-12, -1.86756843068144
1942-01, -1.88510774254456
1942-02, -1.67127974215445
1942-03, -0.621763610789805
1942-04, -0.946526347436347
1942-05, -1.21098596790944
1942-06, -0.909924795625967
1942-07, -1.08707998425193
1942-08, -1.20245462475608
1942-09, -1.32460683112703
1942-10, -1.17546917837777
1942-11, -1.04150389664443
1942-12, -1.27936039090025
