"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1936-01, -99.9
1936-02, -99.9
1936-03, -99.9
1936-04, -99.9
1936-05, -99.9
1936-06, -99.9
1936-07, -99.9
1936-08, -99.9
1936-09, -99.9
1936-10, -99.9
1936-11, -99.9
1936-12, -1.61470700772429
1937-01, -2.06303130917796
1937-02, -2.34531720579153
1937-03, -1.88854847498664
1937-04, -1.49764251535017
1937-05, -1.67811383518508
1937-06, -0.421932655028955
1937-07, -0.221033413336516
1937-08, 0.0275616089620723
1937-09, -0.0270496835206264
1937-10, 0.127660405799193
1937-11, 0.360537393163805
1937-12, 0.221371850566386
1938-01, 0.712815027686041
1938-02, 0.842643949388984
1938-03, 0.313132005311766
1938-04, 0.0752859304689309
1938-05, 0.316128176112991
1938-06, -0.963473687578418
1938-07, -1.01204746076473
1938-08, -0.591957465175847
1938-09, -0.450420768546267
1938-10, -0.495535688131735
1938-11, -0.631907013570167
1938-12, -0.777830339966373
1939-01, -1.49236185878679
1939-02, -1.72587741078742
1939-03, -0.883996687746358
1939-04, -0.748986029138745
1939-05, -0.815576727531673
1939-06, -0.785400978613142
1939-07, -0.954231681568198
1939-08, -1.43408956231139
1939-09, -1.28597783179462
1939-10, -1.40020601404606
1939-11, -1.30970162361732
1939-12, -1.27610286114253
1940-01, -1.71201267072884
1940-02, -1.51550477281615
1940-03, -2.86411073455712
1940-04, -2.58135647986772
1940-05, -2.26013003001849
1940-06, -2.13382205213218
1940-07, -1.751958841421
1940-08, -1.74023303127869
1940-09, -1.65530909390848
1940-10, -1.6171404696115
1940-11, -1.51227814120108
1940-12, -0.76229517861898
1941-01, -0.587907462484509
1941-02, -0.428780504341527
1941-03, -0.398323808687835
1941-04, -0.612314516731919
1941-05, -0.989126681130748
1941-06, -0.943104644983454
1941-07, -1.19366329994059
1941-08, -1.11126083955431
1941-09, -1.14919407651719
1941-10, -1.2233414173136
1941-11, -1.29168414696935
1941-12, -1.99033977636399
1942-01, -2.60687104398861
1942-02, -2.49107356591225
1942-03, -0.635029416644568
1942-04, -0.920553746131184
1942-05, -0.964839699499098
1942-06, -0.64824313272565
1942-07, -0.691473564472494
1942-08, -0.811872667467332
