"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1936-01, -99.9
1936-02, -99.9
1936-03, -99.9
1936-04, -99.9
1936-05, -99.9
1936-06, -0.981209691517582
1936-07, -1.26664980878378
1936-08, -1.59488973163152
1936-09, -1.48939109568517
1936-10, -2.06442935541471
1936-11, -2.39771806196575
1936-12, -1.38717598715896
1937-01, -1.68545441651451
1937-02, -1.94353457599462
1937-03, -0.900108973419844
1937-04, -0.431892532792821
1937-05, -0.432922175682406
1937-06, 0.458342234344559
1937-07, 0.841362278750334
1937-08, 1.20083527544903
1937-09, 0.748139963405042
1937-10, 0.879898124942618
1937-11, 1.20782167274247
1937-12, -0.130394523257468
1938-01, 0.275050307280454
1938-02, 0.0157946796552682
1938-03, -0.256570797590116
1938-04, -0.479091329964952
1938-05, -0.514511522690263
1938-06, -0.924069761023899
1938-07, -1.62607768299474
1938-08, -0.712837500547471
1938-09, -0.224049509528537
1938-10, -0.1004170147595
1938-11, -0.341334288832413
1938-12, -0.0173686907166234
1939-01, -0.386704737344929
1939-02, -2.08593488538772
1939-03, -0.82110654511175
1939-04, -0.768146640523374
1939-05, -0.65173360349461
1939-06, -0.79530532134501
1939-07, -0.826810955756176
1939-08, -0.284208304147127
1939-09, -0.82181071837778
1939-10, -1.36325945869371
1939-11, -1.45381917952677
1939-12, -1.02851163792902
1940-01, -1.70032004682733
1940-02, -2.45527402650256
1940-03, -3.32364005205076
1940-04, -2.23014151611288
1940-05, -1.64017929170933
1940-06, -1.63657876662544
1940-07, -0.855635981622119
1940-08, -0.440476118991311
1940-09, 0.21116363116169
1940-10, -0.0860024020019893
1940-11, -0.542320249361183
1940-12, 0.651203203601088
1941-01, 0.188580914064754
1941-02, -0.0607950025248633
1941-03, -0.642529983589442
1941-04, -0.595093769730761
1941-05, -0.717423729440767
1941-06, -1.75806776812816
1941-07, -1.82355072893074
1941-08, -1.42985239069322
1941-09, -0.807643618384207
1941-10, -1.29305629097204
1941-11, -1.30916791157134
1941-12, -0.977153029639598
1942-01, -1.8746155078385
1942-02, -2.46028716959401
1942-03, 0.121765734618543
1942-04, -0.17709361259005
1942-05, -0.1859501401061
1942-06, 0.0274577746322644
